"ID";"Торгівельне найменування";"Міжнародне непатентоване найменування";"Форма випуску";"Умови відпуску";"Склад (діючі)";"Фармакотерапевтична група";"Код АТС 1";"Код АТС 2";"Код АТС 3";"Заявник: назва українською";"Заявник: країна";"Заявник: адреса";"Кількість виробників";"Виробник 1: назва українською";"Виробник 1: країна ";"Виробник 1: адреса";"Виробник 2: назва українською";"Виробник 2: країна ";"Виробник 2: адреса";"Виробник 3: назва українською";"Виробник 3: країна ";"Виробник 3: адреса";"Виробник 4: назва українською";"Виробник 4: країна ";"Виробник 4: адреса";"Виробник 5: назва українською";"Виробник 5: країна ";"Виробник 5: адреса";"Номер Реєстраційного посвідчення";"Дата початку дії";"Дата закінчення";"Тип ЛЗ";"ЛЗ біологічного походження";"ЛЗ рослинного походження";"ЛЗ-сирота";"Гомеопатичний ЛЗ";"Тип МНН";"Дострокове припинення";"Дострокове припинення: останній день дії";"Дострокове припинення: причина";"URL інструкції";"Термін придатності";"Термін придатності: значення";"Термін придатності: одиниця вимірювання"
"4B54FAC4830861F2C22584B6002A242C";"1-МЕТИЛ-2-((ФЕНІЛТІО)МЕТИЛ)-3-КАРБЕТОКСИ-4-((ДИМЕТИЛАМІНО) МЕТИЛ)-5-ГІДРОКСИ-6-БРОМІНДОЛ ГІДРОХЛОРИД (УМІФЕНОВІРУ ГІДРОХЛОРИД)";"Umifenovir";"порошок (субстанція) у подвійних пакетах з поліетилену для фармацевтичного застосування";"";"1-метил-2-((фенілтіо)метил)-3-карбетокси-4-((диметиламіно) метил)-5-гідрокси-6-броміндолу гідрохлориду від 99,0 % до 101,0 % (безводна речовина)";"Субстанції.";"";"";"";"Товариство з обмеженою відповідальністю ""Фармацевтична компанія ""Здоров'я""";"Україна";"";"1";"Ченгду Хаоджи Фармчем Корпорейшн";"Китай";"";;;;;;;;;;;;;UA/10532/01/01;14.11.2019;"необмежений";Звичайний;Ні;Ні;Ні;Ні;;Ні;;;;"2 роки";2;"рік"
"F7111E2E9C5AA7C2C225872600211DA9";"2,3,4,5,6-ПЕНТАГІДРОКСИКАПРОНОВА КИСЛОТА, КАЛІЄВА СІЛЬ";"Mono";"порошок (субстанція) у подвійних поліетиленових пакетах для виробництва стерильних та нестерильних лікарських форм";"";"2,3,4,5,6-пентагідроксикапронової кислоти, калієвої солі не менше 97,0 % і не більше 103,0 % в перерахунку на безводну речовину";"Субстанції.";"";"";"";"ТОВ ""Фармацевтична компанія ""ФарКоС""";"Україна";"";"1";"Глобал Кальціум Пвт. Лтд.";"Індія";"";;;;;;;;;;;;;UA/6169/01/01;22.12.2016;"необмежений";Звичайний;Ні;Ні;Ні;Ні;;Ні;;;;"3 роки";3;"рік"
"76AFFBAF0B19FF39C225872600217C5C";"2,3,4,5,6-ПЕНТАГІДРОКСИКАПРОНОВА КИСЛОТА, МАГНІЄВА СІЛЬ";"Mono";"порошок (субстанція) у подвійних пластикових пакетах для фармацевтичного застосування";"";"2,3,4,5,6-пентагідроксикапронової кислоти, магнієвої солі не менше 98,0 % і не більше 102,0 % в перерахунку на безводну речовину";"Субстанції.";"";"";"";"ТОВ ""Фармацевтична компанія ""ФарКоС""";"Україна";"";"1";"Глобал Кальціум Пвт. Лтд.";"Індія";"";;;;;;;;;;;;;UA/5063/01/01;29.03.2021;"необмежений";Звичайний;Ні;Ні;Ні;Ні;;Ні;;;;"5 років";5;"рік"
"C9AB892F576B11B6C225860800243A25";"3-(2,2,2-ТРИМЕТИЛГІДРАЗИНІЙ) ПРОПІОНАТУ ДИГІДРАТ (МЕЛЬДОНІЙ)";"Meldonium";"порошок (субстанція) у пакетах подвійних поліетиленових для фармацевтичного застосування";"";"3-(2,2,2-триметилгідразиній) пропіонату дигідрату (мельдонію) не менше 99,0 % та не більше 101,0 % у перерахуванні на безводну речовину";"Субстанції.";"";"";"";"ТОВ ""НІКО""";"Україна";"";"1";"Хемріо Інтернешіонал Лімітед";"Китай";"";;;;;;;;;;;;;UA/9857/01/01;17.07.2019;"необмежений";Звичайний;Ні;Ні;Ні;Ні;;Ні;;;;"2 роки";2;"рік"
"D9291902511A677EC2258BDA00493595";"3-ДІНІР";"Cefdinir";"капсули по 300 мг, по 10 капсул у блістері, по 1 блістеру у пачці";"за рецептом";"1 капсула містить: цефдінір у перерахунку на суху речовину - 300 мг";"Антибактеріальні засоби для системного застосування. Інші бета-лактамні антибактеріальні засоби. Цефалоспорини третього покоління. Цефдінір.";"J01DD15";"";"";"ТОВ ""АРТЕРІУМ ЛТД""";"Україна";"";"1";"ПАТ ""Київмедпрепарат"" (пакування з in bulk фірми-виробника ФармаВіжн Санаі ве Тікарет А.С., Туреччина)";"Україна";"";;;;;;;;;;;;;UA/17823/01/01;17.12.2019;"17.12.2025";Звичайний;Ні;Ні;Ні;Ні;Моно;Ні;;;"http://www.drlz.com.ua/ibp/lz_www.nsf/id/8B1973D53B54886842258BE0004A6892/$file/UA178230101_D929.mht";"3 роки від дати виготовлення in bulk";3;"рік"
"7853AE7986C81731C2258BE9002773D7";"3-ДІНІР";"Cefdinir";"капсули по 300 мг, по 10 капсул у блістері, по 1 блістеру у пачці";"за рецептом";"1 капсула містить: цефдінір у перерахунку на суху речовину — 300 мг";"Антибактеріальні засоби для системного застосування. Інші бета-лактамні антибактеріальні засоби. Цефалоспорини третього покоління. Цефдінір.";"J01DD15";"";"";"ТОВ ""АРТЕРІУМ ЛТД""";"Україна";"";"1";"ПАТ ""Київмедпрепарат"" (пакування з in bulk фірми-виробника ФармаВіжн Санаі ве Тікарет А.С., Туреччина)";"Україна";"";;;;;;;;;;;;;UA/17823/01/01;02.12.2024;"необмежений";Звичайний;Ні;Ні;Ні;Ні;Моно;Ні;;;"http://www.drlz.com.ua/ibp/lz_www.nsf/id/B17E941C3DFF2B9642258BEE002C6B71/$file/UA178230101_7853.mht";"3 роки від дати виготовлення in bulk";3;"рік"
"FC8276D549F8731CC2258BAF0039D317";"3-ДІНІР";"Cefdinir";"капсули по 300 мг; in bulk: по 10 капсул у блістері, по 2 блістери в коробці, по 100 коробок в груповій упаковці";"";"1 капсула містить: цефдінір у перерахунку на суху речовину - 300 мг";"Антибактеріальні засоби для системного застосування. Інші бета-лактамні антибактеріальні засоби. Цефалоспорини третього покоління. Цефдінір.";"";"";"";"ТОВ ""АРТЕРІУМ ЛТД""";"Україна";"";"1";"ФармаВіжн Санаі ве Тікарет А.С.";"Туреччина";"";;;;;;;;;;;;;UA/17824/01/01;03.10.2024;"необмежений";Звичайний;Ні;Ні;Ні;Ні;;Ні;;;;"3 роки";3;"рік"
"E84CFE02A075231FC2258BF8003FEEAB";"3-ДІНІР";"Cefdinir";"порошок для оральної суспензії 250 мг/5 мл по 1 флакону з порошком для приготування 60 мл суспензії у комплекті зі шприцом - дозатором у картонній упаковці";"за рецептом";"5 мл суспензії містять цефдініру 250 мг";"Антибактеріальний засіб для системного застосування. Цефалоспорини ІІІ покоління.";"J01DD15";"";"";"ТОВ ""АРТЕРІУМ ЛТД""";"Україна";"";"1";"Сенс Лабораторіс Пвт. Лтд.";"Індія";"";;;;;;;;;;;;;UA/17849/01/01;18.12.2024;"необмежений";Звичайний;Ні;Ні;Ні;Ні;Моно;Ні;;;"http://www.drlz.com.ua/ibp/lz_www.nsf/id/52AE12DA7D47D24DC2258C0600520E05/$file/UA178490101_E84C.mht";"2 роки";2;"рік"
"D4158EF86161F3A6C2258BDA004975B7";"3-ДІНІР";"Cefdinir";"порошок для оральної суспензії, 250 мг/5 мл; по 1 флакону з порошком для приготування 60 мл суспензії у комплекті зі шприцом -дозатором у картонній упаковці";"за рецептом";"5 мл суспензії містять цефдініру 250 мг";"Антибактеріальний засіб для системного застосування. Цефалоспорини ІІІ покоління.";"J01DD15";"";"";"ТОВ ""АРТЕРІУМ ЛТД""";"Україна";"";"1";"Сенс Лабораторіс Пвт. Лтд.";"Індія";"";;;;;;;;;;;;;UA/17849/01/01;27.12.2019;"27.12.2025";Звичайний;Ні;Ні;Ні;Ні;Моно;Ні;;;"http://www.drlz.com.ua/ibp/lz_www.nsf/id/3B4C64067FE7923C42258BE0004A68EB/$file/UA178490101_D415.mht";"2 роки";2;"рік"
"60A8AF295D6D172BC225860000397F65";"3-МЕТИЛБУТИРОВА КИСЛОТА";"Mono";"рідина (субстанція) у бочках для використання при виробництві нестерильних лікарських форм";"";"3-метилбутирової кислоти не менше 99,0 %";"Субстанції.";"";"";"";"Державне підприємство ""Завод хімічних реактивів"" Науково-технологічного комплексу ""Інститут монокристалів"" Національної академії наук України""";"Україна";"";"1";"Оу Кью Чемікалс ГмбХ";"Німеччина";"";;;;;;;;;;;;;UA/9151/01/01;03.08.2018;"необмежений";Звичайний;Ні;Ні;Ні;Ні;;Ні;;;;"1 рік";1;"рік"
